scene,frame,valid_count,mean,median,rmse,p11_25,p22_5,p30
archviz,0001,472052,12.057863,0.101139,29.258000,79.460314,83.926347,85.899435
archviz,0002,471931,12.053061,0.101273,29.276347,79.476237,83.981557,85.877597
archviz,0003,471397,11.715360,0.101627,28.806917,80.090030,84.463626,86.287354
archviz,0004,470649,11.467910,0.102215,28.489135,80.574696,84.861755,86.600630
archviz,0005,469439,11.039607,0.102109,27.999645,81.472779,85.523359,87.206645
archviz,0006,468080,10.370972,0.101163,27.039396,82.488250,86.577935,88.193258
archviz,0007,466274,9.671351,0.100594,26.032518,83.405894,87.542518,89.178466
archviz,0008,464512,8.757159,0.096460,24.681818,84.734948,88.895443,90.451485
archviz,0009,462875,8.066928,0.092092,23.723330,85.903538,89.821874,91.238671
archviz,0010,461741,7.584217,0.088791,22.728733,86.334547,90.354549,91.855391
archviz,0011,462590,7.378587,0.085279,22.514432,86.602823,90.714239,92.270477
archviz,0012,464930,7.364662,0.081574,22.777955,86.728755,90.831738,92.430043
archviz,0013,467098,7.332748,0.080543,22.478839,86.525098,90.819914,92.436063
archviz,0014,468981,7.207949,0.078280,22.137180,86.649992,90.945689,92.463874
archviz,0015,471097,7.146793,0.075874,22.170434,86.962345,90.930955,92.503879
archviz,0016,474241,7.203944,0.075913,22.412910,87.024741,90.868778,92.405971
archviz,0017,476621,7.183462,0.075574,22.409053,87.133383,90.794992,92.368989
archviz,0018,479015,7.302109,0.075057,22.607941,86.949052,90.594867,92.181664
archviz,0019,480797,7.214279,0.074550,22.405852,87.028621,90.621198,92.209394
archviz,0020,481693,7.229509,0.075143,22.429827,86.937323,90.557679,92.189216
archviz,0021,481256,7.212011,0.076976,22.360575,86.901358,90.600429,92.273551
archviz,0022,479322,7.079037,0.078300,21.981494,86.948857,90.794497,92.412825
archviz,0023,480062,7.015737,0.080505,21.650530,86.694010,90.876595,92.542005
archviz,0024,483616,7.205364,0.085753,21.672786,86.006873,90.440763,92.156794
archviz,0025,488943,7.540986,0.091916,22.239057,85.480107,89.853623,91.616405
archviz,0026,493893,7.645413,0.097986,22.466943,85.636363,89.783820,91.387001
archviz,0027,497286,7.777568,0.101974,22.780549,85.606874,89.700092,91.304199
archviz,0028,498667,7.636597,0.101032,22.604600,85.995063,89.839512,91.431757
archviz,0029,498767,7.067249,0.097723,21.481874,86.850975,90.556312,92.062025
archviz,0030,498706,6.130732,0.087237,19.911583,88.474973,91.830858,93.060440
archviz,0031,498663,5.990510,0.085382,19.852677,88.731869,92.041118,93.255766
archviz,0032,498701,5.895403,0.082174,19.902832,88.936056,92.080224,93.311824
archviz,0033,498667,5.739032,0.080064,19.691998,89.351210,92.268588,93.483226
archviz,0034,498570,5.739560,0.078512,19.895877,89.477706,92.448202,93.581242
archviz,0035,498501,5.813547,0.079130,20.129604,89.422489,92.321781,93.553674
archviz,0036,498566,5.979298,0.079639,20.697607,89.345242,92.213468,93.406690
archviz,0037,498452,5.964673,0.078937,20.772314,89.493071,92.302569,93.414612
archviz,0038,498343,6.134990,0.077442,21.387236,89.459268,92.224432,93.309026
archviz,0039,498286,6.060577,0.076417,21.140431,89.589714,92.249030,93.336758
archviz,0040,498244,6.229091,0.076274,21.561407,89.445131,92.072960,93.191288
archviz,0041,498344,6.460162,0.075863,22.061927,89.155483,91.781380,92.948245
archviz,0042,498358,6.767337,0.075295,22.696415,88.732397,91.370260,92.559967
archviz,0043,498442,7.134430,0.074485,23.341132,88.113361,90.901048,92.179030
archviz,0044,498464,7.302052,0.075057,23.533606,87.583858,90.657299,92.025101
archviz,0045,498408,7.518856,0.075401,23.975005,87.169748,90.295100,91.744113
archviz,0046,498442,7.705075,0.074605,24.363691,86.906200,90.099149,91.562709
archviz,0047,498334,7.963566,0.071734,25.155660,86.784968,89.925231,91.426032
archviz,0048,498278,8.292822,0.067056,25.937571,86.571753,89.765954,91.252474
archviz,0049,494517,7.584165,0.069716,25.097369,87.927008,90.808203,92.164273
archviz,0050,491078,7.525604,0.074594,24.899501,87.713357,90.875177,92.271085
archviz,0051,490115,9.315599,0.073969,27.498492,84.853351,88.500658,90.048662
archviz,0052,489676,9.661883,0.075021,27.910856,84.286957,88.078239,89.596386
archviz,0053,488926,9.749135,0.075841,27.867332,84.053620,87.866876,89.376306
archviz,0054,488293,9.685269,0.076119,27.689795,84.073497,87.970337,89.487664
archviz,0055,487705,9.706442,0.075919,27.624962,83.941727,87.892271,89.422704
archviz,0056,487253,9.658202,0.075391,27.493650,83.977728,87.995148,89.492317
archviz,0057,486964,9.560785,0.074866,27.328809,84.180966,88.099736,89.570687
archviz,0058,486752,9.474753,0.074681,27.133010,84.400475,88.114687,89.596756
archviz,0059,486548,9.519572,0.074632,27.181976,84.340497,88.030986,89.521075
archviz,0060,486378,9.583375,0.074595,27.291843,84.282595,87.963683,89.398780
archviz,0061,486164,9.638592,0.074702,27.301858,84.150822,87.830650,89.298056
archviz,0062,485708,9.693577,0.074851,27.378230,84.129765,87.756842,89.213272
archviz,0063,485370,9.731015,0.075045,27.339010,83.973258,87.670849,89.120877
archviz,0064,484929,9.923096,0.075446,27.557565,83.593475,87.362067,88.864349
archviz,0065,484687,10.133548,0.075834,27.764246,83.151807,87.034726,88.568293
archviz,0066,484569,10.346411,0.076394,27.981536,82.717219,86.659485,88.318072
archviz,0067,484490,10.627626,0.077545,28.341168,82.192409,86.278974,87.878388
archviz,0068,484335,10.785080,0.078563,28.401254,81.842733,85.995850,87.646567
archviz,0069,484504,11.077946,0.080127,28.823586,81.326676,85.547901,87.269042
archviz,0070,484593,11.231457,0.081072,28.923888,81.030679,85.277749,87.028702
archviz,0071,484968,11.413726,0.082080,29.055001,80.579750,84.960657,86.811501
archviz,0072,485324,11.565828,0.082902,29.219541,80.217957,84.742976,86.652216
archviz,0073,485766,11.516351,0.083196,28.954078,80.092061,84.700247,86.621748
archviz,0074,486317,11.488600,0.082470,28.885627,79.997615,84.679129,86.651505
archviz,0075,486869,11.425535,0.081814,28.746884,79.936492,84.688489,86.719015
archviz,0076,487386,11.258603,0.081285,28.465448,80.171774,84.830709,86.872007
archviz,0077,487373,11.131496,0.080310,28.251223,80.347290,84.949720,86.931775
