scene,count,valid_count,weighted_mean,avg_median,weighted_rmse,weighted_p11_25,weighted_p22_5,weighted_p30
archviz,200,97839393,6.538310,0.074786,21.069905,88.526099,91.582985,92.850904
CardioStation,80,39892728,6.819833,0.072372,20.604988,85.862579,90.336301,92.408955
cars,100,49699788,2.429408,0.062401,11.100568,94.427898,96.941236,97.794383
Modern Living Room Loft,100,48337530,7.001863,0.075617,20.641724,86.087938,90.520856,92.223891
Modern Conference Room 3D Render,100,49565603,11.240882,0.077546,28.505899,80.906719,85.127727,87.169770
Living Room Fullset 01,100,49101566,5.792951,0.077190,18.100495,87.520166,92.056268,93.867778
Office Fullset 003,100,47255776,7.120900,0.132291,21.622836,86.822944,90.736921,92.401187
clothingstore,80,39902606,6.665627,0.068759,20.478827,86.757436,90.841390,92.549414
Sao Pedro Restaurant,100,49546072,6.160839,0.076579,19.935398,87.868074,91.634628,93.221800
Overall,960,471141062,6.622833,0.079594,20.293879,87.376752,91.161658,92.747298
